id,f1,f2,b4,det_entropy_log_1_coef,det_TKEO_std_3_coef,det_TKEO_std_6_coef,app_TKEO_std_3_coef,det_LT_entropy_log_1_coef,app_LT_entropy_shannon_7_coef,tqwt_entropy_shannon_dec_11,tqwt_entropy_shannon_dec_15,tqwt_entropy_shannon_dec_17,tqwt_entropy_shannon_dec_18,tqwt_entropy_shannon_dec_19,tqwt_entropy_shannon_dec_20,tqwt_entropy_shannon_dec_27,tqwt_entropy_log_dec_17,tqwt_entropy_log_dec_18,tqwt_entropy_log_dec_19,tqwt_entropy_log_dec_20,tqwt_entropy_log_dec_23,tqwt_entropy_log_dec_25,tqwt_entropy_log_dec_27,tqwt_entropy_log_dec_28,tqwt_entropy_log_dec_31,tqwt_entropy_log_dec_32,tqwt_entropy_log_dec_33,tqwt_entropy_log_dec_34,tqwt_entropy_log_dec_35,tqwt_entropy_log_dec_36,class
0,539.3427351,1031.84904,396.6436311,-779.1377,0.68635,3.7358,27917.7341,-1820.192,-381059.351,4.884,174.692,360.7126,541.6719,422.8302,225.6461,230.2402,-34671.0477,-23650.0278,-20345.6618,-18507.9939,-7369.2484,-8442.5303,-2800.8383,-3160.3491,-6228.1902,-5536.5796,-4540.083,-3726.2679,-3190.1752,-2528.9188,1
0,564.3636145,1016.367294,218.2297224,-758.8078,1.3254,9.262,26814.5173,-1794.2636,-376979.9939,4.8483,140.8136,367.5642,629.8223,457.775,156.2954,199.51,-33182.7497,-21148.2216,-18974.3829,-20233.2095,-8507.0116,-9389.7366,-3078.5008,-3212.9726,-6115.804,-5232.0226,-4466.8949,-3719.5566,-3106.4317,-2550.7038,1
0,548.4446038,1032.406341,84.24033898,-787.2253,0.69551,9.2128,26070.3366,-1820.6641,-374463.8517,1.9849,84.8129,188.1902,319.4879,273.7422,140.831,132.2911,-41243.4355,-29134.8907,-23660.155,-20578.6196,-11965.5691,-10590.644,-3829.1785,-3724.5248,-6109.0433,-5388.7857,-4455.2826,-3661.5431,-3082.5691,-2551.524,1
1,819.529588,1201.813897,526.1475988,-328.3795,2707.5415,18444.5045,60867.3395,-1383.4552,-347128.0292,3.2053,572.9586,516.0856,388.1459,283.8624,324.7968,38.4777,-33611.6072,-27559.051,-22665.2697,-16728.0806,-6042.5372,-976.8516,-7018.6958,-4965.0071,-3875.9253,-3124.9244,-2779.8086,-2372.6055,-1965.3808,-1798.1406,1
1,846.7961437,1215.346469,384.6116973,-231.7629,1522.9635,14594.4305,72348.0929,-1322.5301,-359900.4024,2.717,647.2537,472.2521,349.9757,288.7418,325.9259,24.028,-34414.5525,-27573.0883,-22087.7065,-16531.1556,-6215.9774,-577.2628,-7392.1333,-5832.5871,-4030.0406,-3319.5362,-2910.9996,-2484.715,-2102.3852,-1872.4122,1
1,832.4372517,1193.223486,663.1907916,120.9124,4703.7668,2968.2485,115949.8496,-942.9796,-403630.3745,3.1723,661.3569,506.5834,342.4765,250.8259,352.4345,59.7746,-34872.4771,-28696.9726,-23744.4068,-16097.2263,-5916.1822,-1305.6082,-6462.9921,-5280.4764,-2741.3453,-2399.6602,-2499.9299,-2239.3081,-1918.089,-1592.8628,1
2,710.8618603,1165.801015,430.0298921,-569.8538,3.3812,19.2228,51211.3127,-1673.9599,-439591.4525,38.7092,671.048,838.4626,717.2132,416.5361,259.6713,266.8761,-25699.7658,-20561.1327,-19401.5888,-19070.3507,-7134.4237,-1810.8153,-2316.4704,-8263.9206,-3798.4822,-2966.0718,-2701.9626,-2511.6261,-2142.4755,-1978.744,1
2,668.3065153,1165.769341,959.2822624,-615.5185,7.2989,31.0877,48666.7308,-1722.3248,-433521.4504,25.8402,556.9767,1052.1737,646.3414,266.3186,279.4512,269.3432,-21648.6817,-20973.4946,-25506.3091,-18351.192,-4514.9369,-3105.8304,-1987.827,-5635.3952,-4110.1406,-3135.3124,-2598.5729,-2192.1084,-1911.9907,-1630.7608,1
2,670.6393442,1127.450888,160.0900344,-638.0358,2.9189,16.5177,50502.3213,-1741.7808,-434580.393,20.6735,500.4981,1340.736,874.5728,236.5532,240.5436,239.6611,-18251.2309,-17847.3705,-25083.1972,-19153.9188,-5601.0713,-3751.5857,-2711.6304,-6697.7144,-3494.5201,-2857.6096,-2640.7162,-2461.2141,-2201.4183,-2033.6692,1
3,707.8155328,1285.508031,250.9851429,-518.6949,1.8042,43.8112,117417.873,-1716.1078,-519256.1222,12.0346,853.2024,1133.0886,614.9428,516.7413,310.4498,1.0389,-20333.7515,-22328.4934,-17290.5168,-16229.5449,-7513.4286,-13971.7154,-10331.0095,-7699.7633,-6217.2844,-5223.3198,-4244.034,-3705.2665,-3306.9933,-2519.8991,1
3,677.2253757,1247.116884,187.6487545,-533.5233,14.4615,136.0136,115443.1729,-1728.4683,-518520.1999,7.4825,647.4475,993.8343,541.9521,334.0383,211.35,1.1335,-22181.3313,-22900.2888,-20301.3665,-18240.2253,-6091.7186,-12052.2989,-10344.1734,-7568.6086,-6163.4324,-5095.6531,-4274.7929,-3820.4723,-3233.3176,-2511.3843,1
3,751.6864723,1285.817993,535.054346,-604.965,3.4094,45.5727,118517.6031,-1800.9011,-521408.4212,7.6806,740.7463,1401.1445,687.5469,366.8183,200.3955,1.0586,-17473.1718,-20681.4204,-19754.8865,-18610.4721,-9292.5935,-15368.5373,-10186.742,-7584.5798,-5959.547,-5063.0473,-4338.1476,-3672.3149,-3241.2701,-2505.7917,1
4,493.1873293,1256.570863,464.0802796,10.0916,18.6142,146.6084,122483.3999,-1192.0563,-520597.0998,0.60299,18.555,18.1071,12.6066,10.8602,9.0784,0.4679,-56511.9045,-49064.7392,-40547.5375,-34001.9346,-10949.7901,-14060.8987,-11777.5226,-10169.9268,-6039.9525,-5024.0618,-4328.0752,-4095.7981,-3595.3165,-2495.7585,1
4,487.8220627,1241.232495,794.232348,-298.5502,40.1062,10.5462,115403.4237,-1496.1807,-517620.3051,1.0368,62.3305,40.1919,28.1018,23.6488,18.1734,0.55189,-51127.3157,-44483.9483,-35406.1267,-30412.7823,-9588.219,-13859.5147,-11336.989,-10163.105,-5433.6103,-4366.3544,-3926.3371,-3865.7732,-3444.0081,-2503.496,1
